++++ EVENT no. 1 ++++
 i = 1	mother = -1	pdg = 11	name = e-	daughter = 2	eta = 1.14263	p_x = 0.05499	p_y = -0.70164	p_z = 0.99094	m = 0.00051
 i = 2	mother = 1	pdg = 22	name = gamma	daughter = 8	eta = 1.12842	p_x = 0.00077	p_y = -0.00463	p_z = 0.00649	m = 0.00000
 i = 3	mother = 1	pdg = 22	name = gamma	daughter = 7	eta = 1.13107	p_x = 0.02792	p_y = -0.12231	p_z = 0.17414	m = 0.00000
 i = 4	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.36654	p_x = 0.00020	p_y = -0.00016	p_z = -0.00010	m = 0.00051
 i = 5	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.06127	p_x = 0.00010	p_y = 0.00011	p_z = -0.00001	m = 0.00051
 i = 6	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.21545	p_x = 0.00009	p_y = 0.00007	p_z = -0.00002	m = 0.00051
 i = 7	mother = 3	pdg = 11	name = e-	daughter = -1	eta = 1.11934	p_x = 0.02549	p_y = -0.11098	p_z = 0.15579	m = 0.00051
 i = 8	mother = 2	pdg = 11	name = e-	daughter = -1	eta = 0.86369	p_x = 0.00095	p_y = -0.00465	p_z = 0.00463	m = 0.00051
++++ EVENT no. 3 ++++
 i = 0	mother = -1	pdg = -11	name = e+	daughter = 20	eta = -0.51654	p_x = 0.06449	p_y = -0.67603	p_z = -0.36659	m = 0.00051
 i = 1	mother = -1	pdg = 11	name = e-	daughter = 2	eta = 2.51309	p_x = -0.06936	p_y = 0.61726	p_z = 3.80826	m = 0.00051
 i = 2	mother = 1	pdg = 22	name = gamma	daughter = 19	eta = 2.52968	p_x = -0.00224	p_y = 0.00820	p_z = 0.05297	m = 0.00000
 i = 3	mother = 1	pdg = 22	name = gamma	daughter = 18	eta = 2.53480	p_x = -0.00220	p_y = 0.00738	p_z = 0.04828	m = 0.00000
 i = 4	mother = 1	pdg = 22	name = gamma	daughter = 11	eta = 2.54259	p_x = -0.02942	p_y = 0.10782	p_z = 0.70599	m = 0.00000
 i = 5	mother = 1	pdg = 22	name = gamma	daughter = 6	eta = 2.54879	p_x = -0.06016	p_y = 0.22375	p_z = 1.47280	m = 0.00000
 i = 6	mother = 5	pdg = -11	name = e+	daughter = -1	eta = 2.62200	p_x = -0.00412	p_y = 0.01885	p_z = 0.13205	m = 0.00051
 i = 7	mother = 5	pdg = 11	name = e-	daughter = 8	eta = 2.54176	p_x = -0.05604	p_y = 0.20490	p_z = 1.34074	m = 0.00051
 i = 8	mother = 7	pdg = 22	name = gamma	daughter = 9	eta = 2.53459	p_x = -0.02645	p_y = 0.10294	p_z = 0.66598	m = 0.00000
 i = 9	mother = 8	pdg = 11	name = e-	daughter = -1	eta = 2.53406	p_x = -0.00937	p_y = 0.03653	p_z = 0.23619	m = 0.00051
 i = 10	mother = 8	pdg = -11	name = e+	daughter = -1	eta = 2.53487	p_x = -0.01709	p_y = 0.06641	p_z = 0.42979	m = 0.00051
 i = 11	mother = 4	pdg = -11	name = e+	daughter = 16	eta = 2.51284	p_x = -0.00848	p_y = 0.03158	p_z = 0.20043	m = 0.00051
 i = 12	mother = 4	pdg = 11	name = e-	daughter = 13	eta = 2.55464	p_x = -0.02094	p_y = 0.07624	p_z = 0.50556	m = 0.00051
 i = 13	mother = 12	pdg = 22	name = gamma	daughter = 14	eta = 2.44140	p_x = -0.00659	p_y = 0.02175	p_z = 0.12958	m = 0.00000
 i = 14	mother = 13	pdg = -11	name = e+	daughter = -1	eta = 2.34589	p_x = -0.00188	p_y = 0.00546	p_z = 0.02989	m = 0.00051
 i = 15	mother = 13	pdg = 11	name = e-	daughter = -1	eta = 2.47169	p_x = -0.00470	p_y = 0.01629	p_z = 0.09968	m = 0.00051
 i = 16	mother = 11	pdg = 22	name = gamma	daughter = 17	eta = 2.36574	p_x = -0.00028	p_y = 0.00048	p_z = 0.00293	m = 0.00000
 i = 17	mother = 16	pdg = 11	name = e-	daughter = -1	eta = 2.15316	p_x = -0.00041	p_y = 0.00060	p_z = 0.00311	m = 0.00051
 i = 18	mother = 3	pdg = -11	name = e+	daughter = -1	eta = 2.48745	p_x = -0.00088	p_y = 0.00513	p_z = 0.03108	m = 0.00051
 i = 19	mother = 2	pdg = -11	name = e+	daughter = -1	eta = 2.55327	p_x = -0.00166	p_y = 0.00668	p_z = 0.04396	m = 0.00051
 i = 20	mother = 0	pdg = 11	name = e-	daughter = 27	eta = -0.06146	p_x = 0.00072	p_y = -0.00050	p_z = -0.00005	m = 0.00051
 i = 21	mother = 0	pdg = 11	name = e-	daughter = 26	eta = 0.31218	p_x = -0.00045	p_y = -0.00040	p_z = 0.00019	m = 0.00051
 i = 22	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.15312	p_x = 0.00031	p_y = -0.00018	p_z = -0.00005	m = 0.00051
 i = 23	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.24565	p_x = -0.00028	p_y = 0.00006	p_z = -0.00007	m = 0.00051
 i = 24	mother = 0	pdg = 22	name = gamma	daughter = 25	eta = -0.53664	p_x = -0.08603	p_y = -0.09034	p_z = -0.07020	m = 0.00000
 i = 25	mother = 24	pdg = -11	name = e+	daughter = -1	eta = -0.53804	p_x = -0.06057	p_y = -0.06353	p_z = -0.04954	m = 0.00051
 i = 26	mother = 21	pdg = 11	name = e-	daughter = -1	eta = 0.25752	p_x = -0.00017	p_y = 0.00010	p_z = 0.00005	m = 0.00051
 i = 27	mother = 20	pdg = 11	name = e-	daughter = -1	eta = 0.10678	p_x = 0.00002	p_y = -0.00020	p_z = 0.00002	m = 0.00051
