++++ EVENT no. 1 ++++
 i = 17	mother = 4	pdg = 11	name = e-	daughter = -1	eta = 0.53782	p_x = -0.00004	p_y = 0.00008	p_z = 0.00005	m = 0.00051
++++ EVENT no. 8 ++++
 i = 0	mother = -1	pdg = -13	name = mu+	daughter = 8	eta = -0.65613	p_x = 0.09577	p_y = 0.88572	p_z = -0.62738	m = 0.10566
 i = 1	mother = -1	pdg = 13	name = mu-	daughter = 2	eta = -0.20219	p_x = -0.11808	p_y = -0.91635	p_z = -0.18809	m = 0.10566
 i = 2	mother = 1	pdg = 11	name = e-	daughter = 7	eta = -0.81228	p_x = 0.00038	p_y = -0.00023	p_z = -0.00040	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.31400	p_x = -0.00017	p_y = -0.00005	p_z = -0.00006	m = 0.00051
 i = 4	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 1.82064	p_x = 0.00001	p_y = -0.00004	p_z = 0.00012	m = 0.00051
 i = 5	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.13316	p_x = -0.00012	p_y = -0.00007	p_z = -0.00002	m = 0.00051
 i = 6	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.38911	p_x = -0.00547	p_y = -0.02757	p_z = -0.01122	m = 0.00051
 i = 7	mother = 2	pdg = 11	name = e-	daughter = -1	eta = 0.95267	p_x = 0.00004	p_y = 0.00014	p_z = 0.00016	m = 0.00051
 i = 8	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -1.53457	p_x = -0.00010	p_y = -0.00008	p_z = -0.00028	m = 0.00051
 i = 9	mother = 0	pdg = 11	name = e-	daughter = 14	eta = -1.11038	p_x = -0.00084	p_y = 0.00173	p_z = -0.00260	m = 0.00051
 i = 10	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.63351	p_x = 0.00015	p_y = 0.00009	p_z = 0.00012	m = 0.00051
 i = 11	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.45824	p_x = -0.00018	p_y = 0.00007	p_z = -0.00009	m = 0.00051
 i = 12	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.81762	p_x = -0.00009	p_y = 0.00001	p_z = -0.00008	m = 0.00051
 i = 13	mother = 0	pdg = -11	name = e+	daughter = -1	eta = 0.73268	p_x = 0.01256	p_y = 0.01820	p_z = 0.01769	m = 0.00051
 i = 14	mother = 9	pdg = 11	name = e-	daughter = 15	eta = -1.81347	p_x = -0.00041	p_y = -0.00014	p_z = -0.00131	m = 0.00051
 i = 15	mother = 14	pdg = 11	name = e-	daughter = 16	eta = -1.04309	p_x = -0.00051	p_y = -0.00013	p_z = -0.00065	m = 0.00051
 i = 16	mother = 15	pdg = 11	name = e-	daughter = -1	eta = -0.72424	p_x = -0.00025	p_y = -0.00010	p_z = -0.00022	m = 0.00051
++++ EVENT no. 9 ++++
 i = 0	mother = -1	pdg = -13	name = mu+	daughter = 11	eta = -0.71279	p_x = 0.22717	p_y = 0.80673	p_z = -0.64928	m = 0.10566
 i = 1	mother = -1	pdg = 13	name = mu-	daughter = 2	eta = 0.24836	p_x = -0.22189	p_y = -0.74767	p_z = 0.19570	m = 0.10566
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -1.54068	p_x = -0.00003	p_y = -0.00007	p_z = -0.00016	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 2.02181	p_x = -0.00006	p_y = 0.00002	p_z = 0.00023	m = 0.00051
 i = 4	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.04974	p_x = -0.00017	p_y = -0.00002	p_z = -0.00001	m = 0.00051
 i = 5	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -1.39055	p_x = 0.00004	p_y = -0.00008	p_z = -0.00016	m = 0.00051
 i = 6	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.79765	p_x = 0.00014	p_y = 0.00001	p_z = 0.00012	m = 0.00051
 i = 7	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 2.22996	p_x = 0.00008	p_y = -0.00002	p_z = 0.00036	m = 0.00051
 i = 8	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -1.17941	p_x = 0.00008	p_y = -0.00005	p_z = -0.00013	m = 0.00051
 i = 9	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.27533	p_x = 0.00012	p_y = 0.00001	p_z = -0.00003	m = 0.00051
 i = 10	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.12092	p_x = -0.02856	p_y = -0.02843	p_z = -0.00488	m = 0.00051
 i = 11	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.20717	p_x = -0.00021	p_y = 0.00033	p_z = 0.00008	m = 0.00051
 i = 12	mother = 0	pdg = -11	name = e+	daughter = -1	eta = 0.64785	p_x = 0.01697	p_y = -0.01464	p_z = 0.01556	m = 0.00051
++++ EVENT no. 10 ++++
 i = 0	mother = -1	pdg = -13	name = mu+	daughter = 5	eta = -0.65094	p_x = 0.26250	p_y = -1.01733	p_z = -0.73324	m = 0.10566
 i = 1	mother = -1	pdg = 13	name = mu-	daughter = 2	eta = 0.95306	p_x = -0.24842	p_y = 1.01528	p_z = 1.15397	m = 0.10566
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 1.06066	p_x = -0.00004	p_y = -0.00015	p_z = 0.00020	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.51848	p_x = -0.00011	p_y = 0.00016	p_z = -0.00011	m = 0.00051
 i = 4	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.72240	p_x = 0.01803	p_y = -0.01786	p_z = 0.01997	m = 0.00051
 i = 5	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.01342	p_x = -0.00023	p_y = -0.00012	p_z = -0.00000	m = 0.00051
 i = 6	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.50850	p_x = -0.00008	p_y = -0.00006	p_z = 0.00005	m = 0.00051
 i = 7	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -1.07775	p_x = -0.00007	p_y = 0.00005	p_z = -0.00011	m = 0.00051
 i = 8	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -1.29525	p_x = 0.00005	p_y = 0.00006	p_z = -0.00013	m = 0.00051
 i = 9	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.97492	p_x = -0.00000	p_y = -0.00008	p_z = 0.00009	m = 0.00051
 i = 10	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -1.04211	p_x = 0.00007	p_y = 0.00003	p_z = -0.00009	m = 0.00051
 i = 11	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.44921	p_x = 0.00014	p_y = -0.00030	p_z = 0.00015	m = 0.00051
 i = 12	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.83704	p_x = 0.00003	p_y = -0.00008	p_z = 0.00008	m = 0.00051
 i = 13	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.85239	p_x = -0.00007	p_y = 0.00006	p_z = -0.00009	m = 0.00051
 i = 14	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.94680	p_x = 0.00014	p_y = 0.00002	p_z = -0.00016	m = 0.00051
 i = 15	mother = 0	pdg = -11	name = e+	daughter = -1	eta = 1.65651	p_x = -0.00264	p_y = 0.00735	p_z = 0.01973	m = 0.00051
++++ EVENT no. 11 ++++
 i = 0	mother = -1	pdg = 13	name = mu-	daughter = 7	eta = 0.25746	p_x = 1.16358	p_y = -2.06746	p_z = 0.61757	m = 0.10566
 i = 1	mother = -1	pdg = -13	name = mu+	daughter = 2	eta = 0.33225	p_x = -1.16448	p_y = 2.06684	p_z = 0.80278	m = 0.10566
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 2.19340	p_x = 0.00005	p_y = 0.00000	p_z = 0.00023	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.92892	p_x = 0.00004	p_y = 0.00006	p_z = -0.00008	m = 0.00051
 i = 4	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.03368	p_x = 0.00011	p_y = 0.00005	p_z = 0.00000	m = 0.00051
 i = 5	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.29540	p_x = -0.00017	p_y = -0.00003	p_z = 0.00005	m = 0.00051
 i = 6	mother = 1	pdg = -11	name = e+	daughter = -1	eta = 1.16404	p_x = -0.02541	p_y = -0.01498	p_z = 0.04263	m = 0.00051
 i = 7	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.07013	p_x = 0.00016	p_y = -0.00382	p_z = 0.00027	m = 0.00051
 i = 8	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.80854	p_x = 0.00017	p_y = 0.00008	p_z = 0.00017	m = 0.00051
 i = 9	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.30189	p_x = -0.00015	p_y = -0.00018	p_z = -0.00007	m = 0.00051
 i = 10	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 1.49369	p_x = -0.00007	p_y = -0.00003	p_z = 0.00015	m = 0.00051
 i = 11	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 2.62418	p_x = -0.00000	p_y = 0.00002	p_z = 0.00013	m = 0.00051
 i = 12	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 1.25604	p_x = -0.00007	p_y = -0.00005	p_z = 0.00014	m = 0.00051
 i = 13	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.20178	p_x = 0.00011	p_y = 0.00007	p_z = 0.00003	m = 0.00051
 i = 14	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -1.66839	p_x = 0.00003	p_y = -0.00002	p_z = -0.00010	m = 0.00051
 i = 15	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -1.56072	p_x = 0.00005	p_y = -0.00003	p_z = -0.00013	m = 0.00051
 i = 16	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.17825	p_x = 0.00749	p_y = -0.03295	p_z = -0.00606	m = 0.00051
++++ EVENT no. 12 ++++
 i = 0	mother = -1	pdg = -13	name = mu+	daughter = 11	eta = 0.89708	p_x = -0.86492	p_y = 0.23012	p_z = 0.91499	m = 0.10566
 i = 1	mother = -1	pdg = 13	name = mu-	daughter = 2	eta = -0.87187	p_x = 0.86080	p_y = -0.23211	p_z = -0.87960	m = 0.10566
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.50998	p_x = 0.00022	p_y = -0.00013	p_z = 0.00014	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = 10	eta = -0.38310	p_x = 0.00022	p_y = 0.00050	p_z = -0.00021	m = 0.00051
 i = 4	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.72738	p_x = 0.00010	p_y = 0.00001	p_z = 0.00008	m = 0.00051
 i = 5	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.71707	p_x = -0.00004	p_y = -0.00007	p_z = -0.00007	m = 0.00051
 i = 6	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.32126	p_x = 0.00006	p_y = 0.00012	p_z = 0.00004	m = 0.00051
 i = 7	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.39477	p_x = 0.00006	p_y = 0.00011	p_z = 0.00005	m = 0.00051
 i = 8	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.14645	p_x = 0.00010	p_y = -0.00011	p_z = 0.00002	m = 0.00051
 i = 9	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -1.17039	p_x = 0.01690	p_y = -0.00969	p_z = -0.02837	m = 0.00051
 i = 10	mother = 3	pdg = 11	name = e-	daughter = -1	eta = 1.58791	p_x = 0.00005	p_y = 0.00002	p_z = 0.00013	m = 0.00051
 i = 11	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.94553	p_x = 0.00004	p_y = -0.00006	p_z = 0.00008	m = 0.00051
 i = 12	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.27373	p_x = 0.00001	p_y = 0.00017	p_z = -0.00005	m = 0.00051
 i = 13	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.66496	p_x = 0.00015	p_y = 0.00010	p_z = 0.00013	m = 0.00051
 i = 14	mother = 0	pdg = -11	name = e+	daughter = -1	eta = 0.17366	p_x = 0.03930	p_y = 0.00357	p_z = 0.00689	m = 0.00051
++++ EVENT no. 13 ++++
